"beta","gamma2","sigma2","n_clusters","R_per_cluster","replication","estimated_beta","lower_confint","upper_confint"
3,1,1,5,38,2,2.85899164436186,1.62638028957204,4.09160385635765
3,1,1,5,38,3,1.88977023126507,-1.18343107503018,4.9629736744703
3,1,1,5,38,4,1.99651574660858,0.0779368876038402,3.91509593967827
3,1,1,5,38,5,4.7978463258576,1.6083640911289,7.98733077834903
3,1,1,5,38,6,5.12894187719568,4.05295969436999,6.20492480819541
3,1,1,5,38,7,2.04759309328725,0.213203085321044,3.88198437817898
3,1,1,5,38,8,2.37441132839332,2.00116571204178,2.74765720427774
3,1,1,5,38,9,2.63866585711543,1.47323684531727,3.80409567940428
3,1,1,5,38,10,2.084911821173,1.22705042102856,2.94277381790022
1,10,1,5,38,1,2.36204397540865,-4.56297917239494,9.28707193852088
1,10,1,5,38,2,0.0892121263799831,-3.56985743606122,3.74828423311871
1,10,1,5,38,3,5.59207165404059,-0.487183909032569,11.6713314442751
1,10,1,5,38,4,10.0994343914759,5.00188359199204,15.1969887354951
1,10,1,5,38,5,3.24395071036765,0.254124369752157,6.23377912993215
1,10,1,5,38,6,2.55646150355671,-3.61607847849808,8.72900577761992
1,10,1,5,38,7,3.88965208701088,1.62435304636853,6.15495270280743
1,10,1,5,38,8,1.42049586153993,-6.62605784576126,9.46705516391028
1,10,1,5,38,9,1.37137720894289,-7.38883954183419,10.1316000510529
1,10,1,5,38,10,-1.70741544334977,-7.41264416192455,3.9978172423149
2,10,1,5,38,1,4.89182699184344,3.85596194158778,5.92769276238765
2,10,1,5,38,2,-0.398248549110076,-2.67204692373968,1.87555140657638
2,10,1,5,38,3,-3.00247250158061,-9.46704039721721,3.46209988912804
2,10,1,5,38,4,1.18899524542675,-2.60810260339905,4.98609573455198
2,10,1,5,38,5,5.76473578519863,-0.0730012302993697,11.6024768599702
2,10,1,5,38,6,3.75316535712353,-5.17863300052986,12.6849699254183
2,10,1,5,38,7,9.60447792284472,7.15132034137297,12.0576372100771
2,10,1,5,38,8,1.83168277516077,-5.23287326260973,8.89624372519297
2,10,1,5,38,9,5.93769452695684,-2.44171617578128,14.3171110562218
